#{"t_start": 1747068277.7986002, "env_id": "None"}
r,l,t
-3.49789,5,192.663247
-9.49789,11,192.935797
-16.49789,18,193.2414
-2.49789,4,193.53281
-9.49789,11,193.968241
-1.49789,3,194.199299
-3.49789,5,194.519685
-4.134059,9,195.189684
-6.49789,8,195.422051
-19.472523,24,196.942641
-13.133585,19,197.909847
-11.49789,13,198.187052
-10.49789,12,198.992615
-3.134059,8,199.683897
-9.134059,14,200.463529
-10.134059,15,201.026491
-2.134059,7,202.174884
-3.134059,8,202.852357
-15.134059,20,203.543395
-7.49789,9,203.837141
-1.49789,3,204.10416
-4.421581,7,204.54735
-15.49789,17,204.865309
-3.5,4,204.880536
-0.49789,2,205.06296
-18.133585,25,215.697295
-7.133585,14,218.005397
-6.134059,11,219.845114
-32.49789,34,220.261459
-16.49789,18,220.636797
-6.423941,17,221.553265
-26.424864,28,221.940709
-18.421581,22,223.055012
-0.49789,2,223.323561
-3.49789,5,223.664792
-2.49789,4,223.951944
-27.499526,29,224.342043
-37.49789,39,224.824533
-15.49789,17,225.181817
-3.49789,5,225.471671
-10.49789,12,225.731398
-9.49789,11,226.041472
-4.5,5,226.053728
-11.112114,14,226.972118
-0.49789,2,227.29647
-6.112114,9,227.955727
-13.459064,16,228.561863
-0.49789,2,228.833056
-8.49789,10,229.126146
-19.49789,21,229.431816
-24.49789,26,229.79839
-14.133585,20,230.697782
-16.49789,18,231.768371
-0.49789,2,232.41107
-15.134059,20,233.697467
-4.133585,11,236.05986
-11.49789,13,236.442529
-64.49789,66,236.976501
-4.49789,6,237.251322
-6.497416,9,238.723061
-4.497416,7,239.238628
-22.133585,28,240.425809
-8.49789,10,240.943759
-8.133585,14,243.636154
-11.133585,17,244.664464
-1.133585,7,245.432818
-1.5,2,245.451114
-6.133585,12,246.262734
-7.497416,10,246.886118
-0.5,1,246.899582
-4.497416,7,247.464947
-21.49789,23,247.781637
-5.49789,7,248.008216
-20.499076,22,248.417842
-36.49789,38,249.026989
-2.134059,7,249.841432
-16.134059,21,250.662102
-3.134059,8,251.316296
-21.133585,27,252.970176
-10.134059,15,254.179707
-15.134059,20,254.960952
-14.497416,18,256.171305
-29.497416,33,257.093241
-3.497416,7,258.342219
-7.497416,11,259.65537
-3.851229,11,261.609956
-6.133585,12,263.127768
-4.49789,6,263.470865
-1.133585,7,264.709045
-9.497416,12,265.997507
-33.497416,36,266.816371
-8.49789,10,267.124665
-0.497416,3,267.687314
-1.497416,4,268.339671
-6.133585,13,269.863762
-19.133585,25,271.149611
-51.134059,56,272.021981
-0.134059,5,272.733838
-2.222283,5,273.40457
-4.134059,10,274.767956
-6.134059,12,277.290514
-4.134059,10,278.653374
-16.499961,18,279.289178
-29.134059,35,280.937749
-9.134059,15,285.628205
-7.122498,15,289.12716
-8.134059,13,289.837748
-41.5,42,290.005012
-109.13401,115,291.542547
-8.13401,14,293.072411
-12.461174,14,293.48164
-7.49789,10,294.136439
-12.13401,19,296.754949
-9.13401,16,299.362679
-5.49789,7,299.700791
-11.13401,18,302.647258
-5.49789,8,304.624109
-11.134059,17,307.547388
-6.13401,13,309.734177
-5.49789,8,310.315224
-8.133585,15,312.616853
-3.49789,6,313.109156
-2.134059,8,314.60123
-5.133585,13,320.995435
-12.49789,15,321.858805
-0.49789,2,322.286475
-2.49789,4,322.55217
-4.134059,10,324.277702
-13.49789,16,324.954891
-3.131771,11,329.806499
-3.133585,10,332.138954
-2.058923,9,334.207398
1.865941,4,335.683976
-11.49789,14,336.400647
-12.133585,19,338.617491
-26.134059,32,340.167577
-3.134059,9,342.987408
-1.134059,7,344.498361
-35.5,36,344.647875
-7.133585,14,346.97894
-0.49789,3,347.566404
-8.49789,11,348.067334
-23.133585,30,350.185892
-11.499076,13,350.657056
-4.49789,6,351.687383
-1.49789,3,351.937631
-3.49789,6,353.913232
-3.49789,6,354.628601
-5.49789,8,355.226954
-5.133585,12,357.586247
-4.421581,7,358.117147
-10.133585,17,360.594182
-4.49789,6,360.788064
-2.49789,4,361.59028
-2.133585,9,363.709688
-1.49789,4,364.342865
-7.133585,14,367.837832
-6.134059,12,369.19753
-9.134059,16,372.377707
-12.49789,15,372.878281
-9.133585,17,379.439672
-12.133585,19,383.288832
-3.49789,5,383.571322
-3.49789,6,384.247244
-7.133585,14,388.089673
-4.497416,8,389.022984
-30.457734,34,391.300936
-67.49789,70,392.021162
-2.134059,8,393.580276
-23.49789,25,393.935194
-19.96853,23,394.683632
-3.497416,6,395.293208
-2.497416,5,395.804259
-1.133585,7,396.492597
-1.49789,3,396.818769
-15.747809,23,400.005163
-4.134059,10,402.431077
-2.134059,8,404.20544
-5.134059,11,406.283979
-8.49789,11,407.375219
-1.49789,3,407.851032
-0.49789,2,408.229866
-13.497416,16,408.845046
-27.49789,29,409.175163
-34.342995,38,410.860352
-28.49789,30,411.225518
-2.49789,4,411.745694
-10.134059,16,414.156011
-8.122498,15,417.527029
-1.49789,3,417.772987
-0.497416,3,418.327803
-5.497416,8,419.594082
-12.133585,18,420.540306
-3.133585,9,421.647312
-8.133585,14,422.432339
-50.131427,57,425.489257
-7.134059,13,426.703789
-7.134059,13,427.905269
-1.134059,7,429.415277
-0.49789,3,430.009801
-11.49789,14,430.688862
-32.133585,39,433.04295
-11.133585,17,433.98841
-28.342995,31,434.732194
-9.133585,15,435.781571
-1.133585,7,436.853638
-4.49789,7,437.491411
-14.49789,17,438.45658
-4.49789,7,439.084492
-8.462811,12,441.636856
-12.49789,15,442.429093
-8.49789,10,442.785366
-16.49789,19,443.524468
-4.497062,8,444.45748
-11.49789,14,445.051844
-10.134059,16,446.50195
-5.134059,11,448.586432
-24.497416,28,449.615712
-6.49789,8,449.902376
-1.134059,6,450.583528
-2.100044,8,451.483831
-4.13401,10,452.528477
-2.49789,4,452.902079
-1.134059,7,454.377523
1.865941,4,455.937582
-4.49789,7,457.314691
-3.499526,5,457.801642
-17.134059,23,461.25112
-7.49789,10,462.237221
-14.49789,17,462.720567
-31.277313,36,463.967346
-15.5,16,464.036785
-28.13401,34,465.69611
0.865941,4,468.235519
-13.13401,19,470.240867
-15.13401,21,471.340747
-0.13401,6,472.439874
-13.13401,19,474.471126
-6.49789,8,474.688965
-9.13401,15,475.958736
-11.131718,19,478.012606
-3.1319,10,481.129336
0.86599,5,481.96405
-14.1319,21,483.632167
-8.133585,14,484.670978
-50.133585,56,485.803644
-2.134059,7,486.312547
-8.13401,14,487.552028
-25.13401,31,488.708476
-7.486329,11,489.389477
-6.133585,12,491.685777
-9.134059,14,492.199641
-1.5,2,492.219727
-2.5,3,492.225237
-5.13401,11,493.231149
-7.13401,13,494.593168
-10.13401,16,495.912562
-11.13401,17,497.299596
-18.13401,24,498.769975
-0.49789,2,499.053092
-1.5,2,499.066743
-16.13401,22,500.612005
-9.13401,15,501.86965
-4.13401,10,503.221477
-2.49789,4,503.45801
-7.13401,13,504.726026
-1.49789,3,504.930538
-7.13401,13,507.533963
-11.13401,17,509.831355
-1.13401,7,511.248318
-19.497824,22,512.368461
-26.49789,28,512.615784
-4.5,5,512.630045
-10.13401,16,514.356218
-7.13401,13,516.453189
-4.13401,10,518.615711
0.865941,4,519.250594
-14.13401,20,521.738164
