Wall time,Step,Value
1747630879.1230166,35,-0.46056291460990906
1747630886.1764557,99,-0.27979227900505066
1747630889.7254171,132,-0.26686203479766846
1747630890.199069,135,-0.2537543475627899
1747630901.1041656,206,-0.06422033160924911
1747630908.1941903,248,0.04150015488266945
1747630910.0782228,260,0.08325063437223434
1747630919.2367218,320,0.2775837779045105
1747630938.9166083,441,0.8131474256515503
1747630943.4625406,467,0.9144668579101562
1747630954.7424169,536,1.2117916345596313
1747630987.4297657,744,1.7154046297073364
1747630995.534958,804,1.4345383644104004
1747631007.6801505,893,0.9378471374511719
1747631027.2382302,1039,-0.02093239687383175
1747631052.394405,1227,-0.42251384258270264
1747631063.1492329,1307,-0.45330703258514404
1747631071.5717604,1370,-0.45326608419418335
1747631078.7860649,1422,-0.45326608419418335
1747631090.5515428,1508,-0.48442792892456055
1747631105.70139,1620,-0.48442792892456055
1747631110.7409558,1659,-0.48453715443611145
1747631114.2275486,1683,-0.48453715443611145
1747631129.4624224,1798,-0.48453715443611145
1747631141.6009302,1888,-0.48442792892456055
1747631144.2519498,1908,-0.48442792892456055
1747631145.2607923,1916,-0.48442792892456055
1747631153.8903804,1980,-0.48442792892456055
1747631175.6549368,2140,-0.48431870341300964
1747631202.5165904,2304,-0.29864469170570374
1747631205.8560567,2328,-0.17503497004508972
1747631206.4751995,2332,-0.14413253962993622
1747631214.519469,2388,0.22669662535190582
1747631224.3989532,2456,0.7520379424095154
1747631278.5361562,2810,2.683030366897583
1747631285.037075,2854,2.683030366897583
1747631302.3744636,2970,2.7229602336883545
1747631332.7805057,3179,2.9367804527282715
1747631338.5598638,3215,3.093486785888672
1747631351.2516747,3295,3.4068989753723145
1747631386.8359847,3519,4.310362815856934
1747631419.5536673,3745,4.151208877563477
1747631428.6851041,3809,4.151208877563477
1747631434.9737759,3853,4.131620407104492
1747631441.3992946,3897,4.131620407104492
1747631452.8035877,3973,4.240875720977783
1747631461.5495844,4033,4.260464191436768
1747631483.9387367,4190,4.3968305587768555
1747631491.9490743,4246,4.45559549331665
1747631496.0439801,4274,4.45559549331665
1747631507.9885995,4354,4.436007022857666
1747631514.7330666,4402,4.45559549331665
1747631520.430334,4442,4.45559549331665
1747631521.5384758,4450,4.436007022857666
1747631526.2753448,4482,4.436007022857666
1747631546.328514,4618,4.48665714263916
1747631566.0846784,4754,4.5062456130981445
1747631567.1111515,4762,4.5062456130981445
1747631569.0958312,4774,4.5062456130981445
1747631574.7008562,4814,4.5062456130981445
1747631576.996641,4830,4.5062456130981445
1747631619.165558,5126,4.525833606719971
1747631637.181241,5250,4.48665714263916
1747631663.3999865,5413,4.406993865966797
1747631686.9675937,5572,4.38665246963501
1747631687.5734828,5576,4.38665246963501
1747631708.5305488,5720,4.485904216766357
1747631717.505834,5784,4.505492210388184
1747631719.299038,5796,4.505492210388184
1747631739.762697,5936,4.545422077178955
1747631741.591397,5948,4.545422077178955
1747631749.686625,6004,4.545422077178955
1747631768.2916987,6128,4.525833606719971
1747631786.106598,6252,4.545422077178955
1747631790.6601098,6284,4.525833606719971
1747631810.87599,6424,4.525833606719971
1747631819.4586065,6484,4.5062456130981445
1747631829.176717,6552,4.5062456130981445
1747631830.2482874,6560,4.5062456130981445
1747631834.4970694,6588,4.5062456130981445
1747631872.9317386,6852,4.545422077178955
1747631913.151071,7132,4.545422077178955
1747631920.4096386,7184,4.545422077178955
1747631943.1241357,7340,4.525833606719971
1747631948.7463477,7380,4.525833606719971
1747631967.0224326,7504,4.48665714263916
1747631978.6125486,7584,4.467069149017334
1747631979.242988,7588,4.467069149017334
1747631990.0301957,7660,4.310362815856934
1747632042.9126737,8024,4.2598724365234375
1747632048.0674212,8060,4.338225364685059
1747632053.9933012,8100,4.357813358306885
1747632060.4882636,8144,4.44748067855835
1747632124.153787,8580,4.408304214477539
