Wall time,Step,Value
1747611451.4267316,5000,-0.4248639941215515
1747612071.1820889,10000,6.528454780578613
1747612728.321164,15000,6.528454780578613
1747613507.810902,20000,6.528454780578613
1747614363.626604,25000,6.528454780578613
1747615354.7007139,30000,6.528454780578613
1747616274.478429,35000,6.528454780578613
1747617171.6165607,40000,10.726391792297363
1747618040.434731,45000,10.726391792297363
1747618872.421785,50000,10.357400894165039
1747619697.329695,55000,10.726391792297363
1747620602.8560624,60000,11.226391792297363
1747621595.4016898,65000,11.226391792297363
1747622650.450331,70000,11.226391792297363
1747623716.648684,75000,11.226391792297363
1747624759.3197873,80000,11.226391792297363
1747625614.6978595,85000,10.857439994812012
1747626351.557972,90000,10.857439994812012
1747627175.1412833,95000,10.857439994812012
1747628032.431489,100000,11.22642993927002
