Wall time,Step,Value
1747648044.6229668,5000,-10.5
1747648103.1667318,10000,-0.5
1747648291.5788443,15000,-0.5
1747648553.3543153,20000,-0.5
1747648847.4199595,25000,-0.5
1747649225.217291,30000,-0.5
1747649562.0283616,35000,-0.5
1747650006.4136696,40000,2.1370179653167725
1747650651.0393898,45000,2.1370179653167725
1747651226.6667411,50000,-6.862981796264648
1747651861.4167228,55000,6.528453826904297
1747652422.3345306,60000,6.528453826904297
1747653045.036005,65000,6.528453826904297
1747653741.9866915,70000,6.528453826904297
1747654391.000597,75000,6.528453826904297
1747655059.8136225,80000,6.5672807693481445
1747655733.5448282,85000,6.5672807693481445
1747656445.7325141,90000,6.5672807693481445
1747657106.4189878,95000,6.603590965270996
1747657840.1549706,100000,6.603590965270996
